filename,label
synth_000000.png,تنوع گیر اطرافیہ ضیا فشان سوزی زور مندی جھنجھوڑنا تعزیزی کسیں
synth_000001.png,الگنی الزمی تخریب پسندوں زخم زباں سدھاؤں چاہئے
synth_000002.png,کسمساؤں نسا پتی زفرف وسمیہ
synth_000003.png,خرخرہ نصوحا متخیل طرفین تشبیہ خار زن ریر ماوراء تعدد پیما تحفظاتی
synth_000004.png,مجرمیت شورسینی اچلا ٹھپوں ڈیمی
synth_000005.png,کنکرول عید میلاد مشابہ الصوت
synth_000006.png,سانس عقول بھونکوں
synth_000007.png,طرہ و دستار والا ٹرمونہے مصنوعی نباتات خط قاطع معلومات عامہ مرطوب
synth_000008.png,بوسکی داعیانہ ڈھانپے سوزانہ خطیت پا پیادہ ممنر صاف بیانی
synth_000009.png,بامیں سایقات الیچیے قزحیاں میسان شیال بزرگان روفس گرتے
synth_000010.png,پیش نشینی مکسیب ٹھور ٹھور جہاں کشوں شومیء تقدیر جھنوا سٹورا کھیبا
synth_000011.png,ہربجھن مہیب مشبہ بالکتاب زرافہ جھجھماتی چلچل
synth_000012.png,اگھاڑنی تمہاری حمصی خرق عادات نصابیات برسات کی چاندنی منٹل منتشر المزاجی پبلسٹی
synth_000013.png,اجتہاد تچھک کاتب تقدیر شہاں متخالف تنکوں عیوب نودھا بھکتی خدا
synth_000014.png,شمشیرہ پیویلین دفتری نظام چرچراتی تلا دان غیر ذمہ داری چرچرائی راستی پسند
synth_000015.png,خشکاری کانکھ ڈالوں آب چشم لطف سخن پچھلا استقبیلات تنہائی مشقیں
synth_000016.png,سمطر گرد مادہ بھنیاکا
synth_000017.png,بلکو ڈو جانچ جرجبیں پرورش کملیوں خمیدہ شٹ چہ میگوئیاں
synth_000018.png,ربن قاعدہ مہم مفہومیت نڈھول چٹک کر ٹائون
synth_000019.png,برفیوں مبارگی اسفال ہیکنگ
synth_000020.png,آہنی چھاپہ بواسیر الانف بخت آزما ساہن
synth_000021.png,لکیرا بنیائی چور راستہ سفید لکڑی طغرا نما پوٹاسیم پرمینگنیٹ رہ آوارہ کانٹی لیور جنبلیتیں
synth_000022.png,پرخار نادان دھوکےباز تدارک ترطیبیں نمٹاتی مرداری نظام معیشت نامیہ
synth_000023.png,ترکیب اتصالی بدقلعی مینک متاسا تمزقات سکرات دہری دھونڈتے
synth_000024.png,دو انگی طغیانی نہر پائیرو سکیات بھابر نیر بخت
synth_000025.png,کتبے ادھر ادھر تخت عاج سریجن خوخ ناتمام پوچ بافی پناہ گاہ
synth_000026.png,خلیدہ مماس التمام آسروؤں
synth_000027.png,ٹنٹیلوں عدم ثبوت نضیر کٹکٹاؤں پٹولا حیرت زدگی دھوبی کاچ غلہ خیز زاچہ
synth_000028.png,کراو بدوی قدرتیں باہنے ایک دفعہ ہسٹیریا پرکرم چار پاؤں
